tenant_id,model,prompt_class,input_tokens,max_tokens_requested,actual_output_tokens,conversation_depth,has_tool_calls,has_system_message,num_tool_definitions,user_role_hint
11a61530-48e5-4a89-9b92-1c78b300705e,gpt-4o,tool_calling,804,0,292,2,true,true,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,gpt-4o-mini,chat_short,110,0,151,4,false,false,0,continuation
ea8ad1eb-a032-44d0-813b-995f3c42d80c,claude-3-5-sonnet-20240620,chat_long,1756,1024,788,3,false,false,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-5-sonnet-20240620,chat_short,95,0,172,5,false,false,0,tool_response
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-5-sonnet-20240620,chat_short,115,2048,156,1,false,false,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,gpt-4o-mini,vision,1176,0,398,6,false,true,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gemini-1.5-pro,code_gen,998,0,1288,3,false,true,0,tool_response
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-haiku-20240307,tool_calling,770,512,322,4,true,false,6,continuation
11a61530-48e5-4a89-9b92-1c78b300705e,gpt-3.5-turbo,summarization,3243,2048,356,8,false,true,0,tool_response
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,claude-3-haiku-20240307,rag,4041,0,534,7,false,false,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-5-sonnet-20240620,rag,4067,1024,430,7,false,true,0,tool_response
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,claude-3-haiku-20240307,summarization,6284,512,292,2,false,true,0,continuation
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,gemini-1.5-pro,vision,853,0,378,5,false,false,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gemini-1.5-flash,chat_short,89,0,189,4,false,false,0,tool_response
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-haiku-20240307,vision,1438,0,589,5,false,true,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gpt-4o,chat_short,108,0,196,3,false,true,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gpt-3.5-turbo,chat_long,2944,0,704,4,false,true,0,tool_response
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,gpt-3.5-turbo,tool_calling,899,0,297,4,true,true,2,first
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-haiku-20240307,rag,3565,0,449,2,false,false,0,first
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,gpt-4o-mini,rag,3806,0,364,3,false,false,0,tool_response
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,gpt-4o-mini,summarization,5629,0,343,7,false,false,0,first
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gemini-1.5-pro,tool_calling,419,0,320,6,true,false,0,first
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gpt-4o-mini,chat_long,2097,0,587,2,false,false,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gpt-4o,chat_short,159,512,200,4,false,true,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-5-sonnet-20240620,vision,917,0,452,8,false,true,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,claude-3-haiku-20240307,vision,1582,0,647,5,false,true,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gpt-4o,rag,2740,0,320,3,true,true,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-haiku-20240307,chat_short,127,0,179,2,false,true,0,tool_response
ea8ad1eb-a032-44d0-813b-995f3c42d80c,gpt-4o,rag,2045,0,422,5,false,false,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,claude-3-5-sonnet-20240620,code_gen,1017,0,1146,6,false,false,0,first
ea8ad1eb-a032-44d0-813b-995f3c42d80c,claude-3-haiku-20240307,summarization,6384,0,370,6,false,false,0,continuation
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,gpt-4o-mini,code_gen,1146,512,980,5,false,true,0,first
11a61530-48e5-4a89-9b92-1c78b300705e,gpt-4o,code_gen,1073,0,1077,6,false,true,0,continuation
c8f0bc70-ee81-4790-9425-7ab7ab7474e2,claude-3-5-sonnet-20240620,rag,4516,512,581,7,false,true,0,continuation
